product_name,category,price_eur,eur_to_sar_rate,price_sar,product_url,image_file,image_source_url
Primo Toys - Cubetto+,Playset,249.00,4.422375,1101.17,https://shop.moravia.education/educational-and-interactive-robots/primo-toys/cubettoplus.html,images/cubetto_plus_playset.png,https://shop.moravia.education/media/catalog/product/cache/c1f214247d33ac5edb947951a751484a/c/u/cubetto_-playset_hero.png
Primo - Cubetto Transparent Map 6x6,Extra / Map,32.90,4.422375,145.50,https://shop.moravia.education/primo-transparent-map.html,images/transparent_map_6x6.png,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/m/i/microsoftteams-image_13_.png
Primo - Theme cards for a transparent map - Numbers,Extra Cards,19.90,4.422375,88.01,https://shop.moravia.education/themed-cards-numbers.html,images/number_cards.png,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/p/t/pt-cards_123_box.png
Cubetto Logic Pack,Adventure / Logic Pack,34.90,4.422375,154.34,https://shop.moravia.education/cubetto-logic-pack.html,images/logic_pack.jpg,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/l/o/logic-pack-1.jpg
Primo - Theme cards for a transparent map - Alphabet,Extra Cards,19.90,4.422375,88.01,https://shop.moravia.education/themed-cards-nnumbers.html,images/alphabet_cards.png,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/p/t/pt-cards_abc_box.png
Primo - Cubetto Logic Blocks,Extra Blocks,32.90,4.422375,145.50,https://shop.moravia.education/educational-and-interactive-robots/primo-toys/logic-blocks.html,images/logic_blocks.jpg,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/l/o/logic_blocks.jpg
Primo - Cubetto Direction Blocks,Extra Blocks,32.90,4.422375,145.50,https://shop.moravia.education/educational-and-interactive-robots/primo-toys/direction-blocks.html,images/direction_blocks.jpg,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/d/i/directional_blocks.jpg
Primo - Cubetto Deep Space Adventure Map,Adventure Pack,32.90,4.422375,145.50,https://shop.moravia.education/educational-and-interactive-robots/primo-toys/cubetto-deep-space-adventure-map.html,images/deep_space_adventure_map.jpg,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/s/p/space_pack.jpg
Primo - Cubetto Blue Ocean Adventure Map,Adventure Pack,32.90,4.422375,145.50,https://shop.moravia.education/educational-and-interactive-robots/primo-toys/cubetto-adventure-map-blue-ocean.html,images/blue_ocean_adventure_map.jpg,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/o/c/ocean_pack.jpg
Primo - Cubetto Ancient Egypt Adventure Map,Adventure Pack,32.90,4.422375,145.50,https://shop.moravia.education/educational-and-interactive-robots/primo-toys/adventure-map-ancient-egypt.html,images/ancient_egypt_adventure_map.jpg,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/e/g/egypt_pack.jpg
Primo - Cubetto Big City Adventure Map,Adventure Pack,32.90,4.422375,145.50,https://shop.moravia.education/educational-and-interactive-robots/primo-toys/adventure-map-big-city.html,images/big_city_adventure_map.jpg,https://shop.moravia.education/media/catalog/product/cache/78af1dffb02b2e09845a16da04941475/c/i/city_pack.jpg
